noun,holodnyj,ledyanoj
вода,280796,80109
воздух,64080,1719
ветер,62032,14249
период,32372,158
зима,32011,425
пот,23568,488
рука,19515,3447
дождь,18133,2486
месяц,16460,85
ночь,16337,940
глаз,15569,2216
день,13954,116
взгляд,12335,2643
земля,10284,786
часть,10282,121
звезда,9516,396
свет,9065,504
комната,8904,288
душ,8760,1722
камень,7730,495
расчет,7634,61
пламень,7549,198
небо,7406,663
струя,7235,2550
масса,7053,3751
зона,7023,1436
палец,6921,1466
море,6860,1630
тон,6742,5319
слой,6650,2144
туман,6484,973
волна,6392,1508
блеск,6327,558
стекло,6129,788
почва,5730,264
стена,5506,4485
сердце,5495,1414
поверхность,5490,5594
капля,5457,753
прием,5254,226
страна,5240,412
пиво,5203,513
лицо,5196,394
вид,5018,75
солнце,4984,185
молоко,4948,225
стенка,4938,591
пол,4910,757
область,4788,63
ванна,4506,1266
поток,4473,4054
тело,4451,2515
огонь,4434,529
металл,4385,165
раствор,4348,261
равнодушие,4230,900
роса,4139,466
слово,3962,195
компресс,3940,404
кровь,3922,95
снег,3829,83
дыхание,3794,2916
презрение,3733,443
пустыня,3535,8140
камера,3454,42
душа,3368,151
губа,3301,301
человек,3256,64
мир,3248,281
эпоха,3101,80
вечер,3067,47
вод,3025,42
дом,2913,2715
дрожь,2896,430
река,2827,1832
трещина,2749,163
пустота,2706,337
ключ,2694,258
улыбка,2686,288
брызги,2628,1100
испарина,2590,114
ужас,2532,517
луч,2512,109
облако,2506,1221
край,2480,444
сырость,2442,511
пояс,2441,635
степь,2397,269
голос,2385,3470
квартира,2371,185
ладонь,2342,342
пар,2279,74
струйка,2271,576
вежливость,2210,594
железо,2191,101
зал,2169,79
мрак,2144,334
постель,2118,373
лоб,2072,207
спокойствие,2011,2193
песок,2010,59
изба,1964,51
жидкость,1951,43
подвал,1942,46
ярость,1937,59
сибирь,1900,140
безразличие,1899,206
мгла,1881,886
ветерок,1871,362
молчание,1867,1392
север,1823,105
коридор,1773,244
луна,1767,94
среда,1659,55
могила,1641,691
плита,1638,801
фаза,1625,681
сон,1618,161
пленка,1609,1069
глубина,1587,211
ручей,1581,400
тьма,1561,404
выражение,1549,233
влага,1487,341
квас,1443,222
грязь,1407,296
пространство,1342,1457
смерть,1340,193
прикосновение,1318,219
ядро,1306,4670
ненависть,1301,126
сумрак,1300,42
печка,1286,41
пыль,1283,1205
усмешка,1276,81
объятие,1261,747
слеза,1242,304
вино,1218,336
мурашки,1203,205
заря,1198,69
ловушка,1198,258
озеро,1197,640
мысль,1193,40
город,1187,210
океан,1187,407
нога,1185,284
модель,1153,349
атмосфера,1138,215
напиток,1113,170
цвет,1088,47
окно,1087,688
водка,1084,425
поле,1082,36639
